"subject","age.group","condition","scene","target","timefromonset","timefromverb","timefromnoun","targetlook"
1,"Adults","control","counter1.png","juice",-4200,-5000,-6400,1
1,"Adults","control","counter1.png","juice",-4100,-4900,-6300,1
1,"Adults","control","counter1.png","juice",-4000,-4800,-6200,1
1,"Adults","control","counter1.png","juice",-3900,-4700,-6100,1
1,"Adults","control","counter1.png","juice",-3800,-4600,-6000,1
1,"Adults","control","counter1.png","juice",-3700,-4500,-5900,0.26
1,"Adults","control","counter1.png","juice",-3600,-4400,-5800,0
1,"Adults","control","counter1.png","juice",-3500,-4300,-5700,0
1,"Adults","control","counter1.png","juice",-3400,-4200,-5600,0
1,"Adults","control","counter1.png","juice",-3300,-4100,-5500,0
1,"Adults","control","counter1.png","juice",-3200,-4000,-5400,0
1,"Adults","control","counter1.png","juice",-3100,-3900,-5300,0
1,"Adults","control","counter1.png","juice",-3000,-3800,-5200,0
1,"Adults","control","counter1.png","juice",-2900,-3700,-5100,0
1,"Adults","control","counter1.png","juice",-2800,-3600,-5000,0.46
1,"Adults","control","counter1.png","juice",-2700,-3500,-4900,1
1,"Adults","control","counter1.png","juice",-2600,-3400,-4800,1
1,"Adults","control","counter1.png","juice",-2500,-3300,-4700,1
1,"Adults","control","counter1.png","juice",-2400,-3200,-4600,1
1,"Adults","control","counter1.png","juice",-2300,-3100,-4500,1
1,"Adults","control","counter1.png","juice",-2200,-3000,-4400,0.931034482758621
1,"Adults","control","counter1.png","juice",-2100,-2900,-4300,0.90625
1,"Adults","control","counter1.png","juice",-2000,-2800,-4200,1
1,"Adults","control","counter1.png","juice",-1900,-2700,-4100,1
1,"Adults","control","counter1.png","juice",-1800,-2600,-4000,1
1,"Adults","control","counter1.png","juice",-1700,-2500,-3900,1
1,"Adults","control","counter1.png","juice",-1600,-2400,-3800,1
1,"Adults","control","counter1.png","juice",-1500,-2300,-3700,1
1,"Adults","control","counter1.png","juice",-1400,-2200,-3600,1
1,"Adults","control","counter1.png","juice",-1300,-2100,-3500,0.28
1,"Adults","control","counter1.png","juice",-1200,-2000,-3400,0
1,"Adults","control","counter1.png","juice",-1100,-1900,-3300,0
1,"Adults","control","counter1.png","juice",-1000,-1800,-3200,0
1,"Adults","control","counter1.png","juice",-900,-1700,-3100,0
1,"Adults","control","counter1.png","juice",-800,-1600,-3000,0
1,"Adults","control","counter1.png","juice",-700,-1500,-2900,0
1,"Adults","control","counter1.png","juice",-600,-1400,-2800,0
1,"Adults","control","counter1.png","juice",-500,-1300,-2700,0
1,"Adults","control","counter1.png","juice",-400,-1200,-2600,0
1,"Adults","control","counter1.png","juice",-300,-1100,-2500,0
1,"Adults","control","counter1.png","juice",-200,-1000,-2400,0
1,"Adults","control","counter1.png","juice",-100,-900,-2300,0
1,"Adults","control","counter1.png","juice",0,-800,-2200,0
1,"Adults","control","counter1.png","juice",100,-700,-2100,0
1,"Adults","control","counter1.png","juice",200,-600,-2000,0
1,"Adults","control","counter1.png","juice",300,-500,-1900,0
1,"Adults","control","counter1.png","juice",400,-400,-1800,0
1,"Adults","control","counter1.png","juice",500,-300,-1700,0
1,"Adults","control","counter1.png","juice",600,-200,-1600,0
1,"Adults","control","counter1.png","juice",700,-100,-1500,0
1,"Adults","control","counter1.png","juice",800,0,-1400,0
1,"Adults","control","counter1.png","juice",900,100,-1300,0
1,"Adults","control","counter1.png","juice",1000,200,-1200,0
1,"Adults","control","counter1.png","juice",1100,300,-1100,0
1,"Adults","control","counter1.png","juice",1200,400,-1000,0
1,"Adults","control","counter1.png","juice",1300,500,-900,0
1,"Adults","control","counter1.png","juice",1400,600,-800,0
1,"Adults","control","counter1.png","juice",1500,700,-700,0
1,"Adults","control","counter1.png","juice",1600,800,-600,0
